,title,link,views,time,duration,img
666,Find whether an array is subset of another array | GeeksforGeeks,/watch?v=ydiUGfYnByw,9.6K views,3 years ago,5:53,https://i.ytimg.com/vi/ydiUGfYnByw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDuOFFgHw9702W7QLjqvnolhcHW4w
667,Sample Class | DSA LIVE For Working Professionals | GeeksforGeeks,/watch?v=X9aJBXeMP_4,23K views,3 years ago,6:20,https://i.ytimg.com/vi/X9aJBXeMP_4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBKWFy0USHqWlEBDoCdcOf2Exp_Zg
668,Interfaces (Java Programming) | GeeksforGeeks,/watch?v=8ZdbOOCqEII,10K views,3 years ago,16:1,https://i.ytimg.com/vi/8ZdbOOCqEII/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDMaPPujhAgfr0yIzEfCwIiWGqNRA
669,Find Itinerary from a given list of tickets (Tickets Hashing)| GeeksforGeeks,/watch?v=u52i2gAnFvU,4K views,3 years ago,7:22,https://i.ytimg.com/vi/u52i2gAnFvU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZ6TUahmwBHYCVPW7Uf54ZXOGbmg
670,Minimum Window Substring | GeeksforGeeks,/watch?v=Xg0rPVTQf98,22K views,3 years ago,15:3,https://i.ytimg.com/vi/Xg0rPVTQf98/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBF4e6Yl6YftV3CA-1fisDFoyutCA
671,Slice (Go Programming Language)| GeeksforGeeks,/watch?v=Lg-j14e22a8,701 views,3 years ago,9:43,https://i.ytimg.com/vi/Lg-j14e22a8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8rsR0ruF0XHXWTXFv7Q2_l6yolA
672,Abstract Classes (Java Programming Language) | GeeksforGeeks,/watch?v=DWmpxZ59JW0,9.8K views,3 years ago,13:2,https://i.ytimg.com/vi/DWmpxZ59JW0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDazqz_vqL-4QGTA3F89bunQX45fg
673,Method Overriding (Java Programming Language) | GeeksforGeeks,/watch?v=i6GzimCuFhM,5.2K views,3 years ago,16:2,https://i.ytimg.com/vi/i6GzimCuFhM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFtP7dlHJWuTbx8yUiDAMz41EYpg
674,Diameter of a Binary Tree (Problem of the Week) | by Shashi Bhushan | GeeksforGeeks,/watch?v=rm2WE0MCJ6k,6.1K views,3 years ago,27:2,https://i.ytimg.com/vi/rm2WE0MCJ6k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAB5gZG-mLS-8GzuA4B1KMqpAn_cQ
675,Arrays in Go Programming Language | GeeksforGeeks,/watch?v=xf5D8DogB1w,928 views,3 years ago,5:58,https://i.ytimg.com/vi/xf5D8DogB1w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCLOl4La9hOMX6xDgJqoa2tfnrElw
676,Pointers In Go Programming Language | GeeksforGeeks,/watch?v=58LQJBCKk3s,2.9K views,3 years ago,7:05,https://i.ytimg.com/vi/58LQJBCKk3s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAwsYE77FJ7B5d3s28v_aPqmphPew
